Site,Treatment,Surface_Area_m2,Structures
0,Gabion Cage,1.9,36
1,Gabion Cage,1.9,193
8,Gabion Cage,1.9,193
0,Reef Ball,2.7,54
1,Reef Ball,2.7,414
8,Reef Ball,2.7,414
